i,k,sum(v)
492,0,1219851
415,0,1229115
410,0,1255172
196,0,1249499
307,1,1263125
348,2,1243683
307,2,1273622
92,2,1260716
444,3,1192189
162,3,1112179
248,4,1216258
203,4,1250024
71,4,1206417
336,5,1232622
247,5,1215831
393,6,1177641
214,7,1180898
163,7,1225429
43,7,1222216
278,8,1215630
179,8,1146389
92,8,1197479
309,9,1249796
493,10,1202731
79,10,1227208
276,11,1232409
137,11,1231912
83,11,1213466
39,11,1230910
409,12,1250127
427,13,1195312
426,13,1164871
154,13,1218070
61,13,1250986
458,14,1209251
402,14,1218206
311,14,1165774
155,14,1222493
15,14,1168401
398,15,1199487
376,15,1247161
114,15,1253537
445,16,1157302
28,16,1215825
415,17,1190260
208,17,1177153
342,18,1195009
275,19,1255662
205,19,1236710
395,20,1161333
255,20,1093734
250,20,1136340
467,21,1282252
457,21,1287822
380,21,1324783
128,21,1242533
438,22,1239603
156,22,1227729
3,22,1256156
477,23,1225681
448,23,1260407
353,23,1258797
77,23,1225069
47,24,1258921
89,25,1204562
462,26,1137282
153,26,1201556
126,26,1192802
56,26,1199215
32,26,1237263
15,26,1131787
441,27,1155585
421,27,1163046
385,27,1179747
267,27,1216971
170,27,1114669
158,27,1162262
499,28,1090688
335,28,1203324
241,28,1157151
412,29,1308850
56,30,1357721
385,31,1180753
297,31,1206926
256,32,1248993
58,32,1281163
47,32,1237476
358,33,1254937
337,33,1217282
336,34,1212740
196,34,1261849
150,34,1236373
58,34,1280371
424,35,1258614
370,36,1272092
229,36,1258335
183,36,1255495
115,36,1246818
184,37,1313745
147,37,1332975
33,37,1245783
100,38,1295841
337,39,1243798
215,39,1187775
489,40,1309517
488,40,1290982
208,40,1261268
139,40,1366606
266,41,1173283
244,41,1138822
231,41,1188266
120,43,1118794
435,44,1266324
215,44,1287641
211,44,1339270
373,45,1222229
260,45,1210519
236,45,1175543
232,45,1301676
35,45,1213066
195,46,1278432
427,47,1111499
241,47,1170313
225,47,1201618
135,47,1150995
482,48,1172644
64,48,1151552
453,49,1188398
410,49,1192720
376,49,1163523
53,49,1201402
49,49,1166412
443,50,1242111
438,50,1317120
326,50,1246483
244,50,1235697
65,50,1263598
137,51,1266260
84,51,1196795
309,52,1286864
8,52,1179928
173,53,1203834
396,54,1201541
96,54,1155525
464,55,1372600
316,55,1242906
7,55,1267600
417,57,1346556
385,57,1266015
224,57,1220750
68,57,1283900
3,57,1345249
221,58,1258521
52,58,1265863
359,59,1212804
148,59,1219837
469,60,1212947
343,61,1231623
25,61,1252703
130,62,1182284
322,63,1346462
28,63,1297919
426,64,1164319
244,64,1209303
90,64,1211849
368,65,1286738
408,66,1233867
