transid,custid,total,numitems,desc
4,2,193,6,nxxpfmnisutdbddj
9,7,128,10,mspsjhaicbu
10,6,52,4,uyoruadfxwvckqcpnx
13,1,138,9,bpuprwcgoslgfkqsmi
17,4,27,7,cdjmsgrnpdbaju
20,10,163,4,ikyoouwuqr
21,5,39,2,caonenbnlccn
22,4,47,9,qmprhurdaujyhnpsn
23,7,176,8,edikterghwcgf
26,8,107,1,olrvxoejkmljqoryqv
27,7,98,1,liufcogfauuqdfl
39,9,77,10,ghjmihlgowmkjav
46,1,186,1,lmrlptbodlouiwsiaw
66,6,74,8,krktigeeqwpjoe
69,1,156,4,kejcasissgpfpmimixc
90,1,78,2,gpymuhsyefrdghhqdl
93,1,96,9,nopijduhinttfatddy
103,2,150,3,ilkixeiawbxelppgo
113,10,116,2,engahinbmrwhhirmqn
117,7,11,10,ibgpmjxfaglqokdvthb
125,7,155,9,ercgvrcrtmueygobcfn
130,9,140,10,hkaqsrgtttangmpvg
135,3,60,5,uhlmdqvmlpnhidw
138,7,175,1,wtyvvkiqqblx
140,7,55,4,uywosqgtbvw
146,1,93,4,aycjgjupblam
155,2,59,1,unkhcisimy
169,5,153,3,fkwanontrtvql
177,6,57,8,hewfnjlcsjppvfknhpg
182,4,139,10,qwpxbavxoyqwnmylgmo
193,3,42,8,axfkllsbqc
195,5,55,9,jftucdftshnjslkjc
198,3,30,5,ycmrbvdulina
199,10,65,4,pyfcxxrewto
203,5,165,4,forjkfihrw
205,2,43,8,bncynjfnmhhrv
207,3,35,10,wdfbxyrksemroirro
208,10,77,1,ucaidwjprtkh
209,9,193,7,whhvosovaed
217,3,141,6,xvgawlelmqjwjko
223,3,169,2,rmpoglwpsnpe
238,4,90,1,dbjsyamonwocofm
240,8,175,6,xtnrepvudmlvpaka
243,2,25,1,rqcbknswpaoyg
244,9,90,1,vdainyxiiwkrj
245,5,198,8,ecotcwfrxappl
250,9,19,9,lbeevtldjyhkcxe
252,5,157,5,nhvavetmrldokmjkb
258,8,148,10,yolcyntdbbafs
260,7,96,8,jfqrrcbdbsvecvggc
261,6,31,4,gnexjyserwanmy
264,6,38,2,lmqluleicxeadxj
270,9,113,2,vdxkmbdmaulbque
280,4,126,3,xogcmywxeg
281,8,102,3,qbhjonycic
283,6,92,2,pssfmjvubhl
285,10,45,5,albgiraevmnyqjpkp
286,9,68,6,kpomtplrand
290,7,45,1,xahmlseigu
299,10,10,5,opmxeupehexblvlon
301,6,32,5,jghmhgmgnnfed
302,4,130,3,jpgwvdmhhwinrtiw
305,2,104,5,dodbnnvgujwigrxadlq
309,8,23,5,miongoqxnew
310,6,36,10,smugpukdctoqse
311,10,175,7,evtlvfvckbx
312,8,90,1,wrqabmvcdllms
313,3,119,1,vrimohwxqenaa
319,1,136,10,lfkvcjxpctqysriqgw
326,10,71,9,lftcdmuingjgtec
329,7,68,7,qyohsblxjdifq
332,9,108,5,ecrlrlrnbjkvtkgxwg
